If you liked (ID),If you liked (Title),Recommendation 1 (ID),Recommendation 1 (Title),Similarity 1,Recommendation 2 (ID),Recommendation 2 (Title),Similarity 2,Recommendation 3 (ID),Recommendation 3 (Title),Similarity 3,Recommendation 4 (ID),Recommendation 4 (Title),Similarity 4,Recommendation 5 (ID),Recommendation 5 (Title),Similarity 5
17,Rede Agricultura de Precisão II,16,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,0.5248,571,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.4581,1540,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.4567,2334,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.4446,1613,MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,0.4023
18,Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,1283,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,0.3749,1059,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment",0.3566,0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.3151,1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.3151,9,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.2999
19,Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,3007,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.2100,3008,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.2100,3009,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.2100,22,From fine wine to lotteries: Blockchain tech takes off - BBC News,0.2066,75,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.1750
20,Using Gamified Hacking Challenges To Attract New Blockchain Developers,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.2602,181,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.2466,262,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.2393,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.2379,334,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.2352
21,O potencial do bitcoin na América Latina,1843,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",0.3332,2763,Black Friday salva o ano do e-commerce,0.3290,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.3236,1191,Por que o Walmart não é Walmart no Brasil,0.3223,1157,"Carros de luxo em alta, mas o alerta está aceso",0.3205
22,From fine wine to lotteries: Blockchain tech takes off - BBC News,3007,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4501,3008,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4501,3009,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,0.4501,1576,Decentralizing IoT networks through blockchain,0.3543,928,The Blockchain is the new Google,0.3425
23,Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,866,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",0.2095,3117,"Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",0.1750,2151,Economia Colaborativa: a tendência que está mudando o mercado,0.1704,151,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,0.1668,1925,Olhando para o futuro: 5 pontos de atenção,0.1626
24,Pimp My Pitch: como fazer um Pitch poderoso,1382,[Books] Biblioteca FIXE: Sugestões de Leitura,0.2858,2543,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,0.2826,2394,Séries com lições sobre empreendedorismo: As 7 melhores!,0.2804,1901,Vídeos motivacionais: os 21 vídeos mais incríveis.,0.2751,1943,Dicas para aumentar produtividade: 14 dicas incríveis.,0.2614
25,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,42,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,0.6714,2932,What DeepMind brings to Alphabet,0.2328,298,Failing model: Plastic Card + App and Card + Wallet Players?,0.2122,2325,Google's new NHS deal is start of machine learning marketplace,0.2015,2816,Mark A Trello Card As Done (And Drop The Mic On That Task),0.1947
26,How OKCupid Changed Hiring Forever.,251,Doing Data Science Right - Your Most Common Questions Answered,0.2000,2482,The new tech talent you need to succeed in digital,0.1788,2949,What makes a good (Android) Software Engineer,0.1738,2732,Lessons from Becoming a Data-Driven Organization,0.1725,2821,Digital Leadership Is Not an Optional Part of Being a CEO,0.1609
27,The Hierarchy of Engagement - Greylock Perspectives,2526,3 Pillars of the Most Successful Tech Products,0.2115,1675,Organizing for digital acceleration: Making a two-speed IT operating model work,0.1617,2958,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,0.1607,1075,State of the Digital Nation 2016,0.1575,2290,NOW NEW NEXT: How growth champions create new value,0.1541
28,Welcome Google Cloud Platform!,1459,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,0.6830,2686,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,0.6737,626,World's Fastest Growing Open Source Platform Pushes Out New Release,0.6733,2917,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,0.5301,973,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",0.5039
29,Hopper raises $16 million for a travel app that tells you the best time to fly,679,"A sneak peek at Google's upcoming travel app, Trips",0.1695,559,Bots won't replace apps. Better apps will replace apps.,0.1382,1338,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",0.1362,1113,Everything you need to know about the big changes coming to Newark airport,0.1286,2526,3 Pillars of the Most Successful Tech Products,0.1283
30,Indústria 4.0: desafios e oportunidades,1611,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,0.2459,2754,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,0.2435,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.2359,1752,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,0.2288,2457,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,0.2279
31,MedStar Washington Potentially Affected By Bitcoin Ransomware,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.1590,905,IBM's Watson aims to make hospital stays suck a whole lot less,0.1569,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.1502,33,French Senate Will Debate on Bitcoin Regulation,0.1173,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.1163
32,CoinFest 2016: Uniting the World's Bitcoiners,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.2737,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.2659,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.2230,33,French Senate Will Debate on Bitcoin Regulation,0.2184,116,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,0.2100
33,French Senate Will Debate on Bitcoin Regulation,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.4065,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.3907,114,Governments vs Bitcoin: A Fight For Control,0.3612,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.3243,184,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.3129
34,Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.2826,180,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,0.2291,334,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.2283,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.2248,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.2138
35,Slice Labs raises $3.9M to insure on-demand workers when they're on the job,2561,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",0.2801,455,The new-world insurance agent,0.2790,1966,German insurance startup Clark closes €13.2M Series A,0.2716,259,The insurance tech equation,0.2465,1252,How Blockchain Technology Can Improve the Insurance Industry,0.2140
36,Enable the new Google Contacts for your users from the Admin console,907,Dial in with ease using the latest Google Calendar app for Android,0.2678,1479,New settings for 2-Step Verification,0.2228,2231,Introducing Casting into Hangouts,0.2111,1818,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,0.2093,884,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,0.2078
37,Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,791,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",0.2688,2533,Introducing Ask a Female Engineer,0.1971,1609,Workplace diversity in Brazil: there's still a long way to go,0.1596,1381,"In war for talent, 'brogrammers' will be losers",0.1504,1150,Ahead of the curve: The future of performance management,0.1285
38,Staying one step ahead at Pixar: An interview with Ed Catmull,2345,So long MVP. Hello Minimum Loveable Product.,0.2131,2994,Seniority,0.2034,1404,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,0.1990,332,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",0.1936,45,Linux at 25: Q&A With Linus Torvalds,0.1855
39,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",2516,Today in Apple history: Steve Jobs passes away | Cult of Mac,0.2038,2517,Today in Apple history: Steve Jobs passes away,0.2038,2518,Today in Apple history: Steve Jobs passes away | Cult of Mac,0.2038,2171,Today in Apple history: Steve Jobs resigns as Apple CEO,0.1651,983,"Smart Managers Don't Compare People to the ""Average""",0.1542
40,Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,1980,Honda: mulheres já respondem por 50% das vendas via consórcio,0.2431,2401,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,0.2032,2006,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,0.1960,1361,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,0.1932,213,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,0.1929
41,Robots are coming for your job,1960,Automation and anxiety,0.2496,1985,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,0.1881,1534,The return of the machinery question,0.1717,1970,AI Revolution 101 - AI Revolution,0.1689,2503,How Robots Can Acquire New Skills from Their Shared Experience,0.1680
42,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,25,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,0.6714,2932,What DeepMind brings to Alphabet,0.2045,298,Failing model: Plastic Card + App and Card + Wallet Players?,0.2015,335,The End Of Apps As We Know Them - Inside Intercom,0.1859,2325,Google's new NHS deal is start of machine learning marketplace,0.1819
43,Bayesian machine learning,2121,How to choose algorithms for Microsoft Azure Machine Learning,0.2657,1425,Generative Models,0.2443,275,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.2324,1486,Ultimate AI battle - Apple vs. Google,0.2318,1855,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,0.2172
44,"As Microsoft US's AI chatbot turns racist troll, Japan's won't shut up about anime and hay fever",702,Clippy's Back: The Future of Microsoft Is Chatbots,0.2710,47,"So your AI bot went haywire, should you care?",0.1751,2830,"Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app",0.1731,1379,How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,0.1636,1881,Japanese for dummies,0.1367
45,Linux at 25: Q&A With Linus Torvalds,601,Windows Subsystem for Linux Overview,0.3048,672,The Best Linux Distros of 2016,0.3046,121,Visual C++ for Linux Development,0.2902,1548,Microsoft's Open Source Love Affair Reaches New Heights,0.2576,689,Good Software Takes Ten Years. Get Used To it.,0.2383
46,DARPA Wants to Give Radio Waves AI to Stretch Bandwidth,1664,Machine Learning for Designers,0.1556,938,Clarifying the uses of artificial intelligence in the enterprise,0.1550,2715,How real businesses are using machine learning,0.1509,275,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.1453,1439,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning",0.1422
47,"So your AI bot went haywire, should you care?",2560,Here's how The White House wants the U.S. to approach AI R&D,0.2416,702,Clippy's Back: The Future of Microsoft Is Chatbots,0.2323,2847,Andrew Ng: What AI Can and Can't Do,0.2283,2326,Artificial intelligence is hard to see,0.2276,161,Deep learning will be huge - and here's who will dominate it,0.1884
48,Machine Learning as a Service: How Data Science Is Hitting the Masses,3095,IBM wants to bring machine learning to the mainframe,0.3560,275,5 Skills You Need to Become a Machine Learning Engineer | Udacity,0.3547,2715,How real businesses are using machine learning,0.3360,2252,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.3352,1495,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",0.3329
49,Innovate Finance Allows Bitfury to Join With Bitcoin,6,Banks Need To Collaborate With Bitcoin and Fintech Developers,0.2857,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.2683,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.2648,187,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News,0.2602,181,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.2388
50,Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk,321,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,0.3265,4,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",0.2778,375,Blockchain won't kill banks: Bitcoin pioneer,0.2373,262,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.2310,181,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.2231
51,The economic essentials of digital strategy,2257,Making digital strategy a reality in insurance,0.3547,836,Five priorities for competing in an era of digital globalization,0.3254,1102,An incumbent's guide to digital disruption,0.3188,288,Building a digital-banking business,0.3044,1675,Organizing for digital acceleration: Making a two-speed IT operating model work,0.2993
52,The incestuous relations among containers orchestration tools,1946,The Netflix Tech Blog: Distributed Resource Scheduling with Apache Mesos,0.4024,2224,A Docker Fork: Talk of a Split Is Now on the Table - The New Stack,0.3368,1468,Docker 1.12: Now with Built-in Orchestration!,0.3196,1880,Docker Swarm,0.3144,154,Your Docker Agenda for April,0.2927
53,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,111,Developers can run Bash Shell and user-mode Ubuntu Linux binaries on Windows 10,0.5774,1659,How to Install and Use the Linux Bash Shell on Windows 10,0.5689,252,Bash on Ubuntu on Windows - Download Now!,0.5569,2443,Introducing Docker for Windows Server 2016 - Docker Blog,0.4518,209,Microsoft's mobile problem may not be a problem at all,0.4453
54,Behind Facebook Messenger's plan to be an app platform,472,How Facebook's Big Bet On Chatbots Might Remake The UX Of The Web,0.3666,466,"Facebook sends a loud message about Messenger bots, but will we hear it?",0.3416,559,Bots won't replace apps. Better apps will replace apps.,0.3220,1800,2016 will be the year of conversational commerce - Chris Messina,0.3186,2638,"Facebook Messenger now supports PayPal payments in bots, will track your PayPal receipts",0.3183
55,Google's Schmidt Says Computers Not a Threat to Humans or Jobs,79,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",0.2438,157,'Machine learning' is a revolution as big as the internet or personal computers,0.2112,1534,The return of the machinery question,0.2058,1960,Automation and anxiety,0.1978,1111,Finding The Meaning Of Artificial Intelligence At Google I/O,0.1914
56,LukeW | Obvious Always Wins,68,Perfect Menu for Mobile Apps - UX Planet,0.3638,60,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,0.3520,880,Mobile marketing statistics 2016,0.2037,57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.2018,1208,How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,0.1517
57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",559,Bots won't replace apps. Better apps will replace apps.,0.2816,2204,98 personal data points that Facebook uses to target ads to you,0.2759,1130,Why porting an iOS design to Android will not work,0.2577,377,Facebook Messenger bots are here and they want to kill apps,0.2523,1298,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,0.2505
58,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",59,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",1.0000,917,Dilma regula Marco Civil e acaba com WhatsApp e Facebook grátis no celular,0.2212,2871,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,0.2011,1289,Tendências do Marketing de Conteúdo 2016,0.1982,2251,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.1934
59,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",59,"Governo Dilma é desaprovado por 69% e aprovado por 10%, diz Ibope",1.0000,917,Dilma regula Marco Civil e acaba com WhatsApp e Facebook grátis no celular,0.2212,2871,Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,0.2011,1289,Tendências do Marketing de Conteúdo 2016,0.1982,2251,"Empresas brasileiras correm para ""ajustar"" cultura interna | EXAME.com",0.1934
60,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,68,Perfect Menu for Mobile Apps - UX Planet,0.3752,56,LukeW | Obvious Always Wins,0.3520,1130,Why porting an iOS design to Android will not work,0.2484,57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.2142,1852,How to Design a Walkthrough That Users Will Read,0.1834
61,How to Avoid Building Bad Products with Rapid Validation - Lean Startup Co.,1026,Usability Heuristics for Bots - Chatbots Magazine,0.1757,559,Bots won't replace apps. Better apps will replace apps.,0.1688,1153,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.1675,1154,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.1675,1177,Mobile UX Design: The Right Ways to Ask Users for Permissions - UX Planet,0.1673
62,5 open-source alternatives to Slack,2865,Slack swips at Skype with video calls and reaction emoji,0.2606,2845,Slack and Google announce partnership focused on better integrating their services,0.2577,193,How people using Slack to organise their grocery lists is helping it grow,0.2517,418,Threaded messaging is coming to Slack,0.2492,190,"Slack and Uber's parting proves when apps unite, it isn't always a smooth ride",0.2410
63,IAM best practice guides available now,359,Cloud Identity and Access Management - Google IAM,0.6068,143,Snapchat shares security best practices for running on GCP,0.4314,3052,Centrally manage all your Google Cloud resources with Cloud Resource Manager,0.3566,1920,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%),0.3131,248,Google Cloud Platform: The smart person's guide - TechRepublic,0.3033
64,"Google Showcases Its Cloud Efforts, Determined to Catch Up to Rivals",1142,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,0.4702,1449,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business,0.4512,79,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",0.4024,248,Google Cloud Platform: The smart person's guide - TechRepublic,0.3623,1502,Analyst: Google's cloud business could cause the stock to soar to over $900,0.3162
65,Acquia's Dev Desktop - a Drupal server for beginners,2968,Dries Buytaert,0.2639,101,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",0.2565,2724,"Acquia Releases Lightning for Drupal 8, Enabling Fast Starts for Digital Experience Deployments [July 19, 2016]",0.2533,407,Choosing Modules and Themes for Drupal 8,0.2454,896,Production Ready Jenkins 2.0 in Two Steps with Docker,0.2453
66,Introducing the Google API Console,1309,Chrome DevTools - Console API Reference,0.4705,3086,"Google Cloud Endpoints now generally available: a fast, scalable API gateway",0.3011,2918,Most Interesting APIs in 2016: Cognitive Computing,0.2931,2761,"Google Cloud Machine Learning family grows with new API, editions and pricing",0.2729,202,The Rise of the API-based SaaS,0.2551
67,Task management app Asana raises $50M at a $600M valuation led by YC's Sam Altman,1089,Sources: Snapchat is raising more money at about a $20 billion valuation,0.1370,641,Facebook at Work pushed to 'later this year',0.1299,351,Lady Gaga's startup Backplane burns out and sells assets,0.1121,2534,Ask a Female Engineer: Joining a Startup,0.1118,1075,State of the Digital Nation 2016,0.1117
68,Perfect Menu for Mobile Apps - UX Planet,60,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,0.3752,56,LukeW | Obvious Always Wins,0.3638,1852,How to Design a Walkthrough That Users Will Read,0.2231,1482,Why 5 is the magic number for UX usability testing,0.1858,57,"Facebook's New Mobile Test Framework Births Bottom Tab Bar Navigation Redesign For iOS 5, 6, & 7",0.1853
