UserId,Rec1,Rec2,Rec3,Rec4,Rec5
-8.78131E+18,2362495898257544462,8302949268716967655,-7.5939E+17,-6.84305E+18,2930191803881821526
-8.76501E+18,-3.06539E+17,1403599387299754918,-8.74265E+18,-3.17078E+18,-5.03915E+18
-8.7634E+18,-6.72669E+18,7414483722019578252,-1.87813E+18,1283472251609674486,400125073514833994
-8.74398E+18,4105873627900556540,7087600436874507849,-4.08439E+18,6750029764020453263,5658521282502533116
-8.7385E+18,-9.2228E+18,3193164045772142182,3151913710743441986,3155118717275463069,3162261384765351942
-8.71946E+18,2581138407738454418,-8.90899E+18,-3.66211E+18,1515492713000932747,-5.87748E+17
-8.70481E+18,-7.11316E+18,-5.81321E+18,-8.94911E+18,5484061377044071389,2708089973817733462
-8.69975E+18,8586403905004879205,-1.03801E+15,-5.84851E+18,8224860111193157980,-8.9928E+18
-8.6941E+18,8901449108040307914,4893900714822288649,374352050712569304,1041289933344278866,-9.08696E+18
-8.68663E+18,-7.12037E+18,7270966256391553686,6031953227014493100,-8.62705E+18,-2.06951E+18
-8.67496E+18,5036201777135800491,-1.67217E+18,6034099213718885791,4109618890343020064,-1.15893E+17
-8.67233E+18,-1.63398E+18,-4.1583E+18,-9.2228E+18,3193164045772142182,3151913710743441986
-8.67075E+18,-2.35876E+18,-6.77294E+18,-3.10265E+18,-6.58441E+18,2727743992157210358
-8.65274E+18,3569727790804487273,8749720044741011597,-1.97505E+17,-3.06539E+17,-8.93707E+18
-8.63276E+18,2048657552251060795,2072448887839540892,7526364197140419661,-1.29758E+18,3180828616327439381
-8.62503E+18,-4.0297E+18,-8.22257E+18,-7.82621E+18,8586403905004879205,3193164045772142182
-8.62076E+18,943818026930898372,6285786669275987455,490726311396224966,6783622248311192269,8835339470389644264
-8.60724E+18,-4.61328E+18,3193164045772142182,3151913710743441986,3155118717275463069,3162261384765351942
-8.60674E+18,-5.87936E+18,5854206600849997966,-1.48327E+18,-1.45693E+16,-3.78082E+18
-8.60609E+18,8224860111193157980,-1.29758E+18,-1.33139E+17,-4.27803E+18,-7.80951E+18
-8.594E+18,3151913710743441986,3162261384765351942,3168079495368669052,3170775058142440102,3172866488852888544
-8.57124E+18,8302949268716967655,-8.2874E+18,-5.69002E+18,3660989387512978561,-5.06508E+18
-8.5692E+18,4555339116751579515,-6.99929E+18,1933229167501870037,-9.2228E+18,3162261384765351942
-8.56719E+18,8657408509986329668,-6.78377E+18,4287021355610172885,-1.29758E+18,3196303498841885455
-8.56415E+18,-9.2228E+18,3180828616327439381,3151913710743441986,3155118717275463069,3162261384765351942
-8.56047E+18,1738052593226421681,1992928170409443117,-1.63398E+18,-1.03801E+15,6384824828701919724
-8.55017E+18,3075810310719170278,3180608611815082945,216869981229779312,-1.73794E+18,7664140604181040222
-8.54319E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-8.53296E+18,1881534532776527237,-9.2228E+18,3196303498841885455,3151913710743441986,3155118717275463069
-8.53127E+18,7088167897470452815,717471739656838182,-3.20678E+18,-6.52387E+18,4118743389464105405
-8.52703E+18,-3.78082E+18,1120323498091467525,1060159005880386235,-5.94185E+18,3241240229241793423
-8.49397E+18,-9.2228E+18,3149164017776669829,3151913710743441986,3155118717275463069,3162261384765351942
-8.4868E+18,8483892789913825147,-4.13317E+18,-8.04389E+18,3170775058142440102,5658521282502533116
-8.48398E+18,-7.29472E+18,6750029764020453263,1348739322889189648,-9.2228E+18,3196303498841885455
-8.465E+18,8814787788150050622,3151804887212279872,3151913710743441986,3155118717275463069,3162261384765351942
-8.45954E+18,-4.75422E+18,-6.78377E+18,-2.35876E+18,8586403905004879205,8224860111193157980
-8.44665E+18,-6.15912E+17,-8.2088E+18,8428597553954921991,6009447229221815725,6031953227014493100
-8.44621E+18,-1.0686E+18,-7.26422E+18,-7.28441E+16,-5.41489E+18,-3.25896E+18
-8.43612E+18,2006478190737700267,6104598399077154797,-8.4979E+18,231281690254211527,7818691400791322406
-8.43296E+18,8901449108040307914,-5.20096E+18,3268064929368559554,-8.72357E+18,3262705634545542432
-8.43024E+18,-2.1036E+16,-5.41053E+18,-7.88035E+17,-3.19101E+18,991271693336573226
-8.42464E+18,-2.47994E+18,6989198691754522425,2285214528595997209,6807042796917367736,3906974906788964502
-8.42058E+18,8605423472891112686,-1.67638E+18,4815632823882298534,8734156751308150579,-4.23114E+18
-8.41708E+18,-4.6552E+18,-6.84305E+18,7255021292858609470,-5.0442E+18,-7.8067E+16
-8.41188E+18,7616472242818646827,-8.95435E+18,3272519107572730082,3151913710743441986,3155118717275463069
-8.40645E+18,-9.2228E+18,3149164017776669829,3151913710743441986,3155118717275463069,3162261384765351942
-8.40381E+18,-8.2088E+18,8769121796537771237,-1.33139E+17,2645380860642118790,8814787788150050622
-8.40255E+18,6186282670048283099,1356221992133852808,2285214528595997209,2555983212310147009,374674704202038318
-8.39961E+18,-1.67217E+18,3343368383976781910,-8.77312E+18,-2.47994E+18,-2.66787E+18
-8.38987E+18,-9.2228E+18,3196303498841885455,3155118717275463069,3162261384765351942,3168079495368669052
-8.38871E+18,-9.2228E+18,3149164017776669829,3151913710743441986,3155118717275463069,3162261384765351942
-8.3846E+18,-3.67879E+18,5018472516978866574,5313335392004163852,623421554979899217,-6.60397E+18
-8.3367E+18,-3.06539E+17,-9.05045E+18,9042192299854648021,-6.59006E+18,-6.15862E+17
-8.30903E+18,7985545205318799060,7226503561499839165,5263606973029607223,1024145536490998555,-4.33396E+18
-8.30642E+18,7616472242818646827,-8.04389E+18,-6.78377E+18,3058137260516373249,3064370296170038610
-8.29799E+18,-4.50949E+18,3689128258624052102,880612740433495828,8769121796537771237,-6.62358E+18
-8.2958E+18,1348739322889189648,1738052593226421681,-6.15912E+17,5109221095427625188,-3.58119E+18
-8.29203E+18,7507067965574797372,-1.45693E+16,5429045128339158843,8651615486877503655,3268064929368559554
-8.27591E+18,1674373276159762025,8298709454703868984,-5.67816E+18,-4.74053E+18,2313825045587317872
-8.25134E+18,-2.06536E+18,-2.35876E+18,-5.48884E+18,-8.37074E+18,2601622077116449484
-8.24647E+18,-2.4761E+18,-1.33139E+17,-9.05045E+18,-5.92048E+18,-6.64341E+18
-8.24355E+18,-4.21263E+16,6892866957050839435,-2.35876E+18,1469580151036142903,3196303498841885455
-8.24302E+18,-6.64341E+18,3343368383976781910,-1.67217E+18,-2.09708E+18,-8.77312E+18
-8.24194E+18,-3.67879E+18,8881733945001664941,-8.38123E+18,-8.9681E+18,6245165134513326654
-8.22384E+18,-9.2228E+18,3193164045772142182,3151804887212279872,3151913710743441986,3155118717275463069
-8.20703E+18,-5.00238E+18,8224860111193157980,-8.9928E+18,4876769046116846438,-6.60397E+18
-8.2054E+18,8749720044741011597,5533752987392101383,3170775058142440102,7823781477664935857,4861691621484862889
-8.1587E+18,-8.24349E+18,7065704533945771463,-3.8508E+18,9191014301634017491,1768976290984301641
-8.13256E+18,1469580151036142903,8869347744613364434,-4.08946E+18,-7.29472E+18,-1.61728E+18
-8.13058E+18,-5.15044E+18,-6.60335E+18,-5.01463E+18,8657408509986329668,-4.1583E+18
-8.12363E+18,-9.2228E+18,3149164017776669829,3151913710743441986,3155118717275463069,3162261384765351942
-8.12152E+18,310515487419366995,-5.78499E+18,5658521282502533116,8254285966695461849,521382866757596943
-8.09967E+18,3569727790804487273,1403599387299754918,-3.17078E+18,-8.74265E+18,-1.33139E+17
-8.09334E+18,511891900317865118,-5.20096E+18,-6.69736E+18,-6.84305E+18,-6.00938E+18
-8.0932E+18,-9.2228E+18,3193164045772142182,3151913710743441986,3155118717275463069,3162261384765351942
-8.0932E+18,3569727790804487273,-1.33139E+17,8749720044741011597,-3.70938E+18,8657408509986329668
-8.093E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-8.07845E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-8.07729E+18,-8.62705E+18,8657408509986329668,5843362068320522769,-4.87506E+18,-3.41752E+18
-8.05842E+18,-4.0297E+18,-9.2228E+18,3193164045772142182,3155118717275463069,3162261384765351942
-8.0519E+18,8769121796537771237,-4.86699E+18,7790567704847993284,-7.61399E+18,5719793245136119929
-8.05011E+18,-7.81218E+18,5238119115012015307,-9.2228E+18,3155118717275463069,3162261384765351942
-8.037E+18,-3.19101E+18,2081512200574495983,569574447134368517,-1.42578E+18,8801504303517439478
-8.02083E+18,-3.26989E+18,5237574390644778994,-1.1376E+18,-5.19908E+17,4625350031392752392
-8.01781E+18,-6.78377E+18,1434312143013787309,1348739322889189648,-5.925E+15,-3.60561E+18
-8.00401E+18,-8.4671E+18,7534917347133949300,5484061377044071389,5854206600849997966,-5.4462E+18
-8.0027E+18,-4.08439E+18,-1.33139E+17,-8.01819E+18,-9.2228E+18,3193164045772142182
-7.991E+18,2384931701643938149,4876769046116846438,4909630283317268181,123378787151399958,6690761795935927461
-7.9816E+18,8657408509986329668,-8.74265E+18,-5.57161E+18,-7.8765E+18,-5.52718E+18
-7.98065E+18,-5.59965E+17,310515487419366995,-4.0297E+18,-1.29758E+18,1348739322889189648
-7.966E+18,7521700660190108859,-6.84305E+18,-4.0297E+18,-2.70388E+18,-1.63398E+18
-7.96393E+18,-2.66787E+18,6245165134513326654,-9.2228E+18,3193164045772142182,3168079495368669052
-7.9572E+18,-8.2088E+18,1738052593226421681,-4.88817E+18,3660989387512978561,8657408509986329668
-7.94645E+18,3151913710743441986,3155118717275463069,3162261384765351942,3168079495368669052,3170775058142440102
-7.92004E+18,-4.0297E+18,-8.95435E+18,3170775058142440102,-3.07173E+18,7087600436874507849
-7.91998E+18,8074780316213343498,-6.58441E+18,-4.27803E+18,8769121796537771237,-5.16131E+18
-7.91076E+18,-8.22257E+18,-7.82621E+18,-9.2228E+18,3218993154926038233,3168079495368669052
-7.90981E+18,-9.0641E+18,2858969450431709251,-7.46331E+18,7270966256391553686,2244894675266276573
-7.90246E+18,4876769046116846438,-3.19101E+18,7814856426770804213,-6.84305E+18,515531013045220470
-7.89888E+18,-2.35876E+18,-6.05815E+18,991271693336573226,-4.02478E+18,-7.9373E+17
-7.84709E+18,-4.0297E+18,-6.65447E+18,3779434447835779494,8302949268716967655,-2.40229E+18
-7.84317E+18,-8.04389E+18,-4.33396E+18,8483892789913825147,-1.63398E+18,-8.95435E+18
-7.83198E+18,2282385028752844581,3149164017776669829,5304344058087060692,-8.244E+18,-4.33396E+18
-7.81572E+18,-1.57225E+18,3579921471626387620,-9.2228E+18,3196303498841885455,3155118717275463069
-7.80995E+18,-9.2228E+18,3196303498841885455,3155118717275463069,3162261384765351942,3168079495368669052
-7.79444E+18,5238119115012015307,1854874463930846880,880612740433495828,-8.74265E+18,-4.0297E+18
-7.75585E+18,-7.61399E+18,-5.00238E+18,-9.10243E+18,-1.48091E+18,2372438485070148864
-7.75329E+18,-5.41666E+17,7400903238402587728,2103268612948910635,-3.78082E+18,-4.79843E+18
-7.71105E+18,-4.0297E+18,-3.6053E+17,8194079557551008273,-3.68447E+16,6757348772114374254
-7.71082E+18,3032648342029994387,-5.6289E+18,-8.14561E+18,-4.0297E+18,3269302169678465882
-7.71061E+18,7446166231252589534,-1.25126E+18,1515492713000932747,-3.66211E+18,-4.46037E+18
-7.70147E+18,3301147467076954944,-5.84541E+18,-8.74265E+18,3660989387512978561,7507067965574797372
-7.69012E+18,4105873627900556540,5658521282502533116,2229625391864201918,-6.19258E+18,-4.0706E+18
-7.6755E+18,880612740433495828,1362186507591814859,-5.00238E+18,-5.01463E+18,-5.57013E+18
-7.6589E+18,7520301770873472812,-4.50398E+18,-2.66787E+18,-1.63474E+18,6504364365389213533
-7.6567E+18,5263606973029607223,1060159005880386235,-6.60397E+18,1553114235264483780,-3.04061E+18
-7.65169E+18,-7.42604E+17,2285214528595997209,-4.14526E+18,2321412363020240814,6750029764020453263
-7.64486E+18,-5.81321E+18,-4.0706E+18,991271693336573226,8302949268716967655,1992928170409443117
-7.63877E+18,5658521282502533116,-4.0297E+18,3689128258624052102,-2.92997E+18,-6.15798E+18
-7.61926E+18,8729086959762650511,8302949268716967655,-2.40229E+18,-7.11316E+18,3660989387512978561
-7.61146E+18,2645380860642118790,7507067965574797372,3598164602856140626,4313871021753084020,2285214528595997209
-7.60673E+18,-1.77987E+18,-5.38651E+18,-3.70576E+18,5530820581773167955,1959495508923903948
-7.60236E+18,-8.2088E+18,1738052593226421681,-2.58417E+18,-8.5086E+18,3510349622718287202
-7.59969E+18,-4.6552E+18,-3.05803E+18,4891010769166501207,-6.58441E+18,-1.45693E+16
-7.57535E+18,4788854083489560153,8586403905004879205,-9.2228E+18,3155118717275463069,3162261384765351942
-7.57407E+18,2617330491231854367,-5.83301E+18,8461560915246826477,-6.78377E+18,8559816910657872807
-7.5713E+18,-3.66211E+18,-4.46037E+18,8586403905004879205,-5.01463E+18,-8.90899E+18
-7.5669E+18,-5.84851E+18,-7.30957E+17,-1.29758E+18,3170775058142440102,-8.9928E+18
-7.56684E+18,7087600436874507849,1567984561327445971,2581138407738454418,4105873627900556540,3149164017776669829
-7.54203E+18,6044362651232258738,1854874463930846880,-2.58417E+18,-7.30957E+17,-7.26422E+18
-7.54074E+18,-3.28562E+18,-3.69736E+18,428486625959995206,4533807694984784858,-3.40542E+17
-7.53186E+18,8769121796537771237,-4.86699E+18,-7.61399E+18,7790567704847993284,-4.33396E+18
-7.52084E+18,-1.66344E+18,2103268612948910635,-9.2228E+18,3180608611815082945,3151913710743441986
-7.5085E+18,8224860111193157980,991271693336573226,7814856426770804213,-4.13317E+18,3193164045772142182
-7.49636E+18,-4.50949E+18,8224860111193157980,2709926970543371965,4069333494579100211,4045164454094417310
-7.4879E+18,8690601908689146128,-1.87656E+18,-5.31538E+18,-8.9922E+18,-6.18457E+18
-7.4827E+18,-9.2228E+18,3205047378909988692,3162261384765351942,3168079495368669052,3170775058142440102
-7.47846E+18,-6.84305E+18,6521856301289868251,279771472506428952,-4.75422E+18,-2.7404E+18
-7.47254E+18,-6.78377E+18,-1.29758E+18,-8.73418E+18,-2.11898E+18,8963938873430212934
-7.45792E+18,6643427232964983922,-5.43155E+18,9079880752026843473,-5.84851E+18,8428597553954921991
-7.45649E+18,-7.33139E+18,-5.94185E+18,-2.09763E+18,-5.925E+15,8835339470389644264
-7.45403E+18,5338677278233757627,1881534532776527237,-6.05114E+17,3151804887212279872,-4.0297E+18
-7.43785E+18,2313825045587317872,-5.67816E+18,8298709454703868984,3172866488852888544,-5.18691E+17
-7.4217E+18,-8.34037E+18,-5.00238E+18,-6.8107E+18,8215778202715904841,5109221095427625188
-7.41606E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-7.41049E+18,-7.12037E+18,-1.25941E+18,-6.15675E+18,2633209697262372913,-4.06855E+18
-7.39381E+18,8847604225354271039,-9.2228E+18,3180828616327439381,3155118717275463069,3162261384765351942
-7.39056E+18,1441248639512899483,2788367348502337122,8890720798209849691,5568089143939945595,8657408509986329668
-7.38148E+18,1873952032843878490,2581138407738454418,-7.98698E+18,-4.13317E+18,6062146090334604102
-7.37785E+18,-3.67879E+18,1561244083438776495,4369833742675497700,310515487419366995,5206308811707978799
-7.37133E+18,-8.2088E+18,1738052593226421681,-2.58417E+18,-8.5086E+18,3510349622718287202
-7.36552E+18,2280365999288629014,4761910285123871012,-6.34721E+18,8886002764685330098,9175693555063886126
-7.34526E+18,6831941111848480366,-7.08298E+18,-6.5591E+17,4717008760225392411,-6.28991E+18
-7.32931E+18,8224860111193157980,8938071859536254465,-5.1544E+18,-7.84224E+16,6638782839540370044
-7.29949E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-7.27399E+18,943818026930898372,-8.40466E+18,4375556914674736641,3704349024245704692,-1.33139E+17
-7.26929E+18,-9.2228E+18,3193164045772142182,3151913710743441986,3155118717275463069,3162261384765351942
-7.26777E+18,-8.27951E+18,-1.56447E+18,-8.72808E+18,7434270606888620096,-3.7596E+18
-7.25305E+18,-1.87813E+18,-5.40373E+18,2930191803881821526,-6.78377E+18,3170775058142440102
-7.24074E+18,-3.71645E+18,-2.21789E+18,9175693555063886126,-2.40229E+18,-3.67879E+18
-7.21001E+18,-3.79031E+18,-9.69155E+17,7521700660190108859,2708089973817733462,5658521282502533116
-7.20596E+18,3772685586944428188,-4.46303E+18,321193326651975856,6031953227014493100,6999813113145211708
-7.2013E+18,3689128258624052102,4876769046116846438,8901449108040307914,5238119115012015307,-9.08052E+17
-7.18076E+18,-7.12037E+18,-8.04389E+18,-3.23498E+18,6031953227014493100,-7.11316E+18
-7.17935E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-7.16828E+18,-4.99634E+18,-5.48884E+18,-1.11152E+18,-8.95435E+18,-9.2228E+18
-7.15436E+18,3569727790804487273,-9.2228E+18,3193164045772142182,3151913710743441986,3155118717275463069
-7.1483E+18,7078276984547732873,4369833742675497700,5338677278233757627,-5.47324E+17,-1.60942E+18
-7.14518E+18,3301147467076954944,5338677278233757627,-7.99018E+18,2910288655685129221,3660989387512978561
-7.13651E+18,3998743085432844199,123378787151399958,4109366816886873672,-8.22257E+18,1851975995406778464
-7.11858E+18,-4.0297E+18,-4.33306E+18,-8.74265E+18,-7.8791E+18,5658521282502533116
-7.10367E+18,-1.03801E+15,-5.84851E+18,-8.9928E+18,3170775058142440102,1881534532776527237
-7.08752E+18,5238119115012015307,1854874463930846880,3091351089612339864,-6.15912E+17,7507067965574797372
-7.07881E+18,-6.78377E+18,7255021292858609470,5719793245136119929,141806940259458424,-3.2854E+18
-7.07066E+18,7446166231252589534,-8.90899E+18,-3.66211E+18,1515492713000932747,2581138407738454418
-7.06821E+18,1561244083438776495,4783081874753928396,7226503561499839165,6664082205633624486,4555339116751579515
-7.0658E+18,4105873627900556540,5658521282502533116,-7.40659E+18,6044362651232258738,310515487419366995
-7.06455E+18,-6.15675E+18,6044362651232258738,3440451510720294447,5964888566269323942,-9.01958E+18
-7.0507E+18,1549650080907932816,-6.543E+18,-1.41504E+18,-6.78377E+18,5250363310227021277
-7.04414E+18,-9.2228E+18,3193164045772142182,3155118717275463069,3162261384765351942,3168079495368669052
-7.0414E+18,6690761795935927461,3170775058142440102,6031953227014493100,4184543400419595673,-3.70576E+18
-7.03556E+18,-4.0297E+18,1567984561327445971,-5.48884E+18,-2.35876E+18,3073610766179441483
-7.00164E+18,2870099478920706993,-4.70786E+18,-9.0742E+17,-2.58417E+18,-5.06508E+18
-6.99865E+18,8586403905004879205,8224860111193157980,-6.78377E+18,-4.46037E+18,6304895356046683527
-6.94773E+18,-6.78377E+18,8224860111193157980,-4.1583E+18,7400903238402587728,-1.29758E+18
-6.94636E+18,5445999759138709405,5847540986736720765,9213260650272029784,-9.01958E+18,-1.29758E+18
-6.9445E+18,-3.46088E+18,6040574489860277999,-5.41489E+18,-9.07188E+18,-6.15798E+18
-6.93988E+18,-2.80896E+18,9038543365726770177,-3.02092E+18,-7.42319E+18,5524888769622800245
-6.93441E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-6.93352E+18,-2.06536E+18,-6.69736E+18,3170775058142440102,-3.07173E+18,4904775878165401439
-6.92135E+18,-3.17302E+18,-4.0297E+18,-9.10243E+18,-5.00238E+18,-5.48884E+18
-6.90425E+18,751528815916485437,-1.29758E+18,3608243634452078989,8769121796537771237,9042192299854648021
-6.89516E+18,880612740433495828,-2.35876E+18,-5.41489E+18,-7.86679E+16,6044362651232258738
-6.87811E+18,-8.38123E+18,-3.34865E+18,911037455259135591,-6.58441E+18,231281690254211527
-6.87485E+18,7087600436874507849,5658521282502533116,-7.66051E+18,-2.35876E+18,6643427232964983922
-6.87478E+18,521382866757596943,-3.72322E+18,-5.48884E+18,-7.5939E+17,-5.00238E+18
-6.87453E+18,-6.15675E+18,4277778562135834208,8596997246990922861,-1.02289E+18,6062146090334604102
-6.8505E+18,-6.45752E+15,2719909253419802298,6198232071580299480,3495098006178009360,3375733407275108717
-6.83489E+18,1873952032843878490,-8.66977E+18,-8.4979E+18,-6.60335E+18,-1.29758E+18
-6.82489E+18,9042192299854648021,7520301770873472812,-6.24557E+18,-3.61957E+18,-8.2874E+18
-6.82305E+18,-8.74265E+18,-6.78377E+18,-5.03915E+18,3205047378909988692,3162261384765351942
-6.82077E+18,-7.26422E+18,7013665235990336340,-1.0686E+18,-3.25896E+18,6997620589258672675
-6.81154E+18,3751305746867503759,3149164017776669829,-2.30609E+18,1432311799980176241,-3.27569E+18
-6.81097E+18,-7.12037E+18,-5.78499E+18,-6.86679E+17,3151913710743441986,319340024738595907
-6.80557E+18,-1.67217E+18,1674373276159762025,3343368383976781910,-2.09708E+18,-6.19258E+18
-6.78686E+18,3906974906788964502,-6.87255E+18,8582210754044680874,-2.40359E+17,-4.14526E+18
-6.7341E+18,-7.56563E+18,-3.61957E+18,2607211459879791691,4609121753781446855,1738052593226421681
-6.73026E+18,-2.79771E+18,7414965642940222121,-3.95418E+18,-5.11504E+18,-8.12349E+18
-6.67495E+18,6245165134513326654,-9.2228E+18,3180828616327439381,3151913710743441986,3155118717275463069
-6.66898E+18,7790567704847993284,-4.86699E+18,5719793245136119929,8769121796537771237,3241240229241793423
-6.66872E+18,8402348887626635381,5410293063635507608,3322348437880079228,1012456848389051365,-6.17487E+18
-6.65784E+18,4441012164161473407,-4.1023E+18,3196303498841885455,3155118717275463069,3162261384765351942
-6.65284E+18,6850500272809381909,-8.90899E+18,3582716808949240433,-3.66211E+18,1515492713000932747
-6.65094E+18,-4.50949E+18,1348739322889189648,-5.06508E+18,-4.0297E+18,-8.4979E+18
-6.63146E+18,-3.8508E+18,6892866957050839435,1768976290984301641,-2.35876E+18,7065704533945771463
-6.62751E+18,-1.67217E+18,1674373276159762025,3262705634545542432,3343368383976781910,-8.77312E+18
-6.62448E+18,6384824828701919724,-1.03801E+15,1992928170409443117,-1.63398E+18,6031953227014493100
-6.61197E+18,-6.60335E+18,-7.12037E+18,-9.12874E+18,7507067965574797372,-1.29758E+18
-6.60637E+18,-1.57333E+18,7065704533945771463,-5.87936E+18,-1.99947E+18,5445999759138709405
-6.59428E+18,991271693336573226,-4.0297E+18,3218993154926038233,3162261384765351942,3168079495368669052
-6.59324E+18,5843362068320522769,2951308020527021494,-9.2228E+18,3196303498841885455,3162261384765351942
-6.57365E+18,-3.739E+18,3751305746867503759,-8.37074E+18,-1.66344E+18,-7.12037E+18
-6.56892E+18,-1.61728E+18,-6.84305E+18,5051167660880461112,6437568358552101410,-4.79843E+18
-6.5519E+18,-8.48071E+18,1348739322889189648,-9.2228E+18,3218993154926038233,3168079495368669052
-6.5333E+18,8586403905004879205,-6.543E+18,-5.06508E+18,-5.57161E+18,3256054536066714292
-6.53218E+18,3116298625885250927,3293246847422795557,-6.78377E+18,-6.60397E+18,1525777409079968377
-6.52723E+18,3343368383976781910,1674373276159762025,-1.67217E+18,-2.09708E+18,-2.06951E+18
-6.52654E+18,-8.48071E+18,-4.0297E+18,1348739322889189648,-1.33139E+17,310515487419366995
-6.50807E+18,-3.95924E+18,-8.5181E+18,1107739178195154647,8712996026808754180,-2.71939E+17
-6.50445E+18,7434270606888620096,5672978373195158195,-9.2228E+18,3193164045772142182,3151913710743441986
-6.5021E+18,4876769046116846438,-4.50398E+18,-4.75422E+18,-2.94832E+18,5338677278233757627
-6.49393E+18,5672978373195158195,-1.57225E+18,3196303498841885455,3162261384765351942,3168079495368669052
